"id","text","label","attack_type","risk_level","language","source_type","contains_url","suspicious_keywords","explanation","synthetic_generated"
"165","Votre commande a été expédiée avec succès.","legitimate","normal","low","fr","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"166","Thank you for your recent purchase.","legitimate","normal","low","en","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"167","Votre commande a été expédiée avec succès.","legitimate","normal","low","fr","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"168","Votre rendez-vous est prévu demain à 10h.","legitimate","normal","low","fr","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"169","Your order has been shipped successfully.","legitimate","normal","low","en","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"170","Votre commande a été expédiée avec succès.","legitimate","normal","low","fr","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"171","Votre compte PayPal a été suspendu. Vérifiez immédiatement : http://warren-cook.info/","phishing","social_media","high","fr","social_media","1","suspended, bitcoin, delivery","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"172","Votre rendez-vous est prévu demain à 10h.","legitimate","normal","low","fr","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"173","You won 2 BTC. Claim your reward here: https://hill-clark.biz/","phishing","crypto_scam","critical","en","sms","1","verify, delivery, confirm","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"174","Votre compte PayPal a été suspendu. Vérifiez immédiatement : http://randall.com/","phishing","delivery","medium","fr","social_media","1","delivery, verify, urgent","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"175","لقد ربحت 2 بيتكوين. استلم جائزتك هنا: http://moore.com/","phishing","credential_theft","high","ar","url","1","password, bitcoin, confirm","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"176","Votre colis est bloqué. Cliquez ici : https://wilson-cruz.com/","phishing","credential_theft","medium","fr","social_media","1","click, delivery, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"177","Votre rendez-vous est prévu demain à 10h.","legitimate","normal","low","fr","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"178","لقد ربحت 2 بيتكوين. استلم جائزتك هنا: https://parker-mcgee.com/","phishing","banking","high","ar","sms","1","verify, delivery, urgent","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"179","تم إرسال طلبك بنجاح.","legitimate","normal","low","ar","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"180","Thank you for your recent purchase.","legitimate","normal","low","en","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"181","موعدك غداً على الساعة العاشرة صباحاً.","legitimate","normal","low","ar","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"182","موعدك غداً على الساعة العاشرة صباحاً.","legitimate","normal","low","ar","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"183","Urgent! Confirm your password now to avoid account deletion: http://baker.com/","phishing","job_scam","critical","en","email","1","suspended, password, verify","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"184","Your PayPal account has been suspended. Verify immediately: https://hernandez.com/","phishing","fake_support","medium","en","email","1","confirm, click, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"185","Urgent! Confirm your password now to avoid account deletion: https://dillon.biz/","phishing","banking","critical","en","url","1","security, verify, confirm","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"186","Votre compte Attijariwafa Bank a été suspendu. Vérifiez immédiatement : https://cohen.com/","phishing","social_media","high","fr","sms","1","urgent, suspended, click","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"187","Your meeting is scheduled for tomorrow at 10 AM.","legitimate","normal","low","en","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"188","Votre commande a été expédiée avec succès.","legitimate","normal","low","fr","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"189","Votre colis est bloqué. Cliquez ici : http://tate-edwards.org/","phishing","banking","critical","fr","sms","1","verify, password, delivery","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"190","تم إرسال طلبك بنجاح.","legitimate","normal","low","ar","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"191","لقد ربحت 2 بيتكوين. استلم جائزتك هنا: https://wood-perez.com/","phishing","social_media","critical","ar","url","1","verify, security, bitcoin","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"192","تم إرسال طلبك بنجاح.","legitimate","normal","low","ar","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"193","Your package delivery failed. Update your address now: https://diaz-page.org/","phishing","social_media","high","en","url","1","verify, confirm, click","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"194","Vous avez gagné 2 BTC. Réclamez votre récompense ici : https://hamilton.com/","phishing","delivery","medium","fr","email","1","verify, security, click","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"195","تحذير عاجل: قم بتأكيد كلمة المرور الخاصة بك الآن: https://holmes.info/","phishing","job_scam","critical","ar","email","1","security, confirm, delivery","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"196","Vous avez gagné 2 BTC. Réclamez votre récompense ici : https://moore.com/","phishing","fake_support","critical","fr","email","1","suspended, security, password","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"197","لقد ربحت 2 بيتكوين. استلم جائزتك هنا: http://barnes.org/","phishing","delivery","medium","ar","email","1","confirm, security, urgent","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"198","موعدك غداً على الساعة العاشرة صباحاً.","legitimate","normal","low","ar","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"199","تم إرسال طلبك بنجاح.","legitimate","normal","low","ar","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"200","Your order has been shipped successfully.","legitimate","normal","low","en","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"201","Votre rendez-vous est prévu demain à 10h.","legitimate","normal","low","fr","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"202","Votre compte Microsoft a été suspendu. Vérifiez immédiatement : http://griffin-jimenez.info/","phishing","social_media","medium","fr","sms","1","bitcoin, verify, delivery","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"203","Your meeting is scheduled for tomorrow at 10 AM.","legitimate","normal","low","en","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"204","Votre colis est bloqué. Cliquez ici : https://armstrong.biz/","phishing","credential_theft","medium","fr","social_media","1","suspended, confirm, bitcoin","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"205","موعدك غداً على الساعة العاشرة صباحاً.","legitimate","normal","low","ar","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"206","تم تعليق حسابك على PayPal. قم بالتأكيد فوراً: https://bartlett.info/","phishing","fake_support","high","ar","url","1","bitcoin, delivery, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"207","Votre compte Amazon a été suspendu. Vérifiez immédiatement : https://white.com/","phishing","job_scam","high","fr","url","1","verify, suspended, confirm","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"208","Votre commande a été expédiée avec succès.","legitimate","normal","low","fr","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"209","Your Instagram account has been suspended. Verify immediately: http://jones-riley.net/","phishing","crypto_scam","medium","en","sms","1","suspended, click, bitcoin","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"210","Votre compte Microsoft a été suspendu. Vérifiez immédiatement : http://lopez.com/","phishing","social_media","medium","fr","url","1","bitcoin, password, verify","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"211","تم إيقاف توصيل الطرد الخاص بك. اضغط هنا: http://jordan.com/","phishing","crypto_scam","medium","ar","url","1","urgent, bitcoin, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"212","Your package delivery failed. Update your address now: https://tucker-douglas.com/","phishing","social_media","critical","en","url","1","bitcoin, suspended, urgent","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"213","Vous avez gagné 2 BTC. Réclamez votre récompense ici : http://flores-garcia.info/","phishing","job_scam","critical","fr","social_media","1","verify, bitcoin, delivery","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"214","Votre compte Facebook a été suspendu. Vérifiez immédiatement : https://davis.com/","phishing","credential_theft","high","fr","social_media","1","confirm, click, password","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"215","Your order has been shipped successfully.","legitimate","normal","low","en","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"216","تم إيقاف توصيل الطرد الخاص بك. اضغط هنا: https://haynes-sexton.com/","phishing","job_scam","high","ar","sms","1","click, verify, delivery","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"217","Your Facebook account has been suspended. Verify immediately: https://christian-jones.com/","phishing","delivery","medium","en","url","1","delivery, security, confirm","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"218","تم إرسال طلبك بنجاح.","legitimate","normal","low","ar","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"219","Votre commande a été expédiée avec succès.","legitimate","normal","low","fr","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"220","You won 2 BTC. Claim your reward here: http://lucas.com/","phishing","credential_theft","high","en","email","1","confirm, verify, password","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"221","You won 2 BTC. Claim your reward here: https://kelly.biz/","phishing","social_media","medium","en","email","1","security, bitcoin, click","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"222","تحذير عاجل: قم بتأكيد كلمة المرور الخاصة بك الآن: https://white-burgess.org/","phishing","credential_theft","high","ar","url","1","security, password, urgent","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"223","Urgent ! Confirmez votre mot de passe maintenant : https://higgins-rivera.com/","phishing","banking","medium","fr","sms","1","delivery, security, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"224","You won 2 BTC. Claim your reward here: http://conrad.com/","phishing","social_media","high","en","url","1","confirm, urgent, bitcoin","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"225","Votre rendez-vous est prévu demain à 10h.","legitimate","normal","low","fr","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"226","تم إيقاف توصيل الطرد الخاص بك. اضغط هنا: https://sanders.com/","phishing","social_media","critical","ar","sms","1","confirm, verify, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"227","Merci pour votre achat récent.","legitimate","normal","low","fr","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"228","Votre rendez-vous est prévu demain à 10h.","legitimate","normal","low","fr","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"229","Thank you for your recent purchase.","legitimate","normal","low","en","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"230","Votre compte Attijariwafa Bank a été suspendu. Vérifiez immédiatement : http://nichols-carlson.com/","phishing","delivery","critical","fr","url","1","security, confirm, urgent","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"231","Your package delivery failed. Update your address now: https://elliott.com/","phishing","social_media","medium","en","sms","1","password, security, urgent","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"232","Your Facebook account has been suspended. Verify immediately: http://browning.com/","phishing","job_scam","critical","en","social_media","1","password, bitcoin, verify","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"233","تحذير عاجل: قم بتأكيد كلمة المرور الخاصة بك الآن: https://guerrero.com/","phishing","crypto_scam","critical","ar","url","1","urgent, bitcoin, password","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"234","Thank you for your recent purchase.","legitimate","normal","low","en","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"235","تحذير عاجل: قم بتأكيد كلمة المرور الخاصة بك الآن: https://wells.com/","phishing","credential_theft","critical","ar","sms","1","suspended, delivery, bitcoin","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"236","لقد ربحت 2 بيتكوين. استلم جائزتك هنا: http://watkins.com/","phishing","credential_theft","high","ar","url","1","security, bitcoin, verify","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"237","موعدك غداً على الساعة العاشرة صباحاً.","legitimate","normal","low","ar","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"238","Votre compte Attijariwafa Bank a été suspendu. Vérifiez immédiatement : https://mendoza.com/","phishing","social_media","critical","fr","email","1","suspended, verify, bitcoin","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"239","Vous avez gagné 2 BTC. Réclamez votre récompense ici : https://monroe-kidd.com/","phishing","delivery","medium","fr","sms","1","delivery, confirm, urgent","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"240","Urgent ! Confirmez votre mot de passe maintenant : https://duarte.com/","phishing","social_media","high","fr","email","1","confirm, click, urgent","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"241","You won 2 BTC. Claim your reward here: https://bush.org/","phishing","fake_support","medium","en","sms","1","urgent, suspended, bitcoin","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"242","Your package delivery failed. Update your address now: https://martinez-ryan.com/","phishing","fake_support","high","en","email","1","verify, urgent, password","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"243","Your package delivery failed. Update your address now: http://lee-molina.com/","phishing","fake_support","medium","en","social_media","1","click, suspended, urgent","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"244","Vous avez gagné 2 BTC. Réclamez votre récompense ici : http://anderson-mccann.com/","phishing","job_scam","medium","fr","email","1","delivery, urgent, confirm","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"245","You won 2 BTC. Claim your reward here: http://moore.com/","phishing","delivery","high","en","email","1","confirm, click, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"246","تم إيقاف توصيل الطرد الخاص بك. اضغط هنا: https://sims.com/","phishing","banking","medium","ar","email","1","bitcoin, delivery, urgent","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"247","Merci pour votre achat récent.","legitimate","normal","low","fr","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"248","Your Microsoft account has been suspended. Verify immediately: https://mullins.com/","phishing","delivery","critical","en","social_media","1","password, urgent, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"249","لقد ربحت 2 بيتكوين. استلم جائزتك هنا: https://graham.com/","phishing","job_scam","critical","ar","url","1","password, security, urgent","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"250","Votre rendez-vous est prévu demain à 10h.","legitimate","normal","low","fr","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"251","You won 2 BTC. Claim your reward here: https://barrett.net/","phishing","social_media","critical","en","url","1","security, delivery, password","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"252","تم إيقاف توصيل الطرد الخاص بك. اضغط هنا: https://brown-thomas.com/","phishing","social_media","medium","ar","social_media","1","suspended, verify, bitcoin","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"253","Vous avez gagné 2 BTC. Réclamez votre récompense ici : https://flores-johnson.com/","phishing","credential_theft","high","fr","sms","1","delivery, security, password","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"254","شكراً على عملية الشراء الأخيرة.","legitimate","normal","low","ar","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"255","Thank you for your recent purchase.","legitimate","normal","low","en","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"256","Your order has been shipped successfully.","legitimate","normal","low","en","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"257","You won 2 BTC. Claim your reward here: https://eaton.com/","phishing","fake_support","high","en","url","1","bitcoin, password, confirm","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"258","Votre colis est bloqué. Cliquez ici : https://hernandez.com/","phishing","fake_support","critical","fr","url","1","suspended, urgent, delivery","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"259","Merci pour votre achat récent.","legitimate","normal","low","fr","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"260","موعدك غداً على الساعة العاشرة صباحاً.","legitimate","normal","low","ar","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"261","لقد ربحت 2 بيتكوين. استلم جائزتك هنا: https://andrade.com/","phishing","job_scam","medium","ar","sms","1","verify, click, bitcoin","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"262","Merci pour votre achat récent.","legitimate","normal","low","fr","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"263","You won 2 BTC. Claim your reward here: http://king.com/","phishing","credential_theft","high","en","url","1","verify, password, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"264","Urgent ! Confirmez votre mot de passe maintenant : https://conley.com/","phishing","social_media","medium","fr","email","1","password, delivery, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"265","تم إيقاف توصيل الطرد الخاص بك. اضغط هنا: http://burke.biz/","phishing","social_media","critical","ar","url","1","click, suspended, confirm","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"266","Votre rendez-vous est prévu demain à 10h.","legitimate","normal","low","fr","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"267","Your package delivery failed. Update your address now: https://durham-gonzales.com/","phishing","delivery","medium","en","social_media","1","confirm, verify, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"268","Urgent ! Confirmez votre mot de passe maintenant : https://rodgers.com/","phishing","delivery","high","fr","sms","1","verify, click, bitcoin","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"269","Votre colis est bloqué. Cliquez ici : http://martin.org/","phishing","social_media","high","fr","sms","1","verify, security, password","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"270","لقد ربحت 2 بيتكوين. استلم جائزتك هنا: http://juarez.com/","phishing","credential_theft","high","ar","email","1","password, confirm, delivery","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"271","Votre colis est bloqué. Cliquez ici : https://wright.com/","phishing","crypto_scam","medium","fr","sms","1","password, bitcoin, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"272","Your meeting is scheduled for tomorrow at 10 AM.","legitimate","normal","low","en","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"273","Urgent! Confirm your password now to avoid account deletion: http://thomas-martinez.com/","phishing","social_media","high","en","social_media","1","verify, suspended, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"274","شكراً على عملية الشراء الأخيرة.","legitimate","normal","low","ar","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"275","تم إرسال طلبك بنجاح.","legitimate","normal","low","ar","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"276","Urgent! Confirm your password now to avoid account deletion: https://yates.info/","phishing","crypto_scam","medium","en","social_media","1","urgent, security, delivery","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"277","تم إيقاف توصيل الطرد الخاص بك. اضغط هنا: https://pierce.info/","phishing","crypto_scam","critical","ar","sms","1","bitcoin, urgent, click","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"278","شكراً على عملية الشراء الأخيرة.","legitimate","normal","low","ar","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"279","Votre rendez-vous est prévu demain à 10h.","legitimate","normal","low","fr","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"280","Votre compte PayPal a été suspendu. Vérifiez immédiatement : https://wiggins-baker.info/","phishing","fake_support","medium","fr","url","1","bitcoin, delivery, click","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"281","تم إيقاف توصيل الطرد الخاص بك. اضغط هنا: https://parker.biz/","phishing","social_media","critical","ar","social_media","1","bitcoin, password, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"282","تحذير عاجل: قم بتأكيد كلمة المرور الخاصة بك الآن: http://martin-wiley.com/","phishing","social_media","high","ar","email","1","suspended, delivery, verify","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"283","Your package delivery failed. Update your address now: https://jackson-bell.org/","phishing","credential_theft","medium","en","sms","1","confirm, security, verify","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"284","Votre commande a été expédiée avec succès.","legitimate","normal","low","fr","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"285","Votre compte Instagram a été suspendu. Vérifiez immédiatement : https://huber-cooley.biz/","phishing","banking","high","fr","url","1","click, security, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"286","Your package delivery failed. Update your address now: https://flynn.biz/","phishing","credential_theft","high","en","email","1","verify, bitcoin, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"287","شكراً على عملية الشراء الأخيرة.","legitimate","normal","low","ar","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"288","Urgent ! Confirmez votre mot de passe maintenant : http://richardson.com/","phishing","crypto_scam","high","fr","social_media","1","verify, bitcoin, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"289","تم تعليق حسابك على Microsoft. قم بالتأكيد فوراً: http://acosta.com/","phishing","job_scam","medium","ar","email","1","bitcoin, confirm, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"290","شكراً على عملية الشراء الأخيرة.","legitimate","normal","low","ar","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"291","تم تعليق حسابك على Instagram. قم بالتأكيد فوراً: https://villarreal-johnson.com/","phishing","crypto_scam","medium","ar","email","1","password, confirm, bitcoin","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"292","Urgent ! Confirmez votre mot de passe maintenant : https://ward-hicks.com/","phishing","crypto_scam","high","fr","social_media","1","password, bitcoin, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"293","Votre commande a été expédiée avec succès.","legitimate","normal","low","fr","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"294","تم إيقاف توصيل الطرد الخاص بك. اضغط هنا: https://young.com/","phishing","credential_theft","high","ar","email","1","confirm, security, delivery","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"295","Votre compte Facebook a été suspendu. Vérifiez immédiatement : http://johns-williams.com/","phishing","social_media","critical","fr","url","1","suspended, click, confirm","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"296","Vous avez gagné 2 BTC. Réclamez votre récompense ici : http://cannon.net/","phishing","crypto_scam","medium","fr","sms","1","urgent, verify, delivery","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"297","Vous avez gagné 2 BTC. Réclamez votre récompense ici : http://olson-huff.net/","phishing","delivery","critical","fr","sms","1","bitcoin, delivery, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"298","موعدك غداً على الساعة العاشرة صباحاً.","legitimate","normal","low","ar","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"299","Your package delivery failed. Update your address now: https://oconnor-ross.org/","phishing","social_media","critical","en","url","1","confirm, password, click","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"300","Votre commande a été expédiée avec succès.","legitimate","normal","low","fr","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"301","تم إرسال طلبك بنجاح.","legitimate","normal","low","ar","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"302","Votre commande a été expédiée avec succès.","legitimate","normal","low","fr","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"303","You won 2 BTC. Claim your reward here: https://frazier.info/","phishing","crypto_scam","medium","en","social_media","1","suspended, click, confirm","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"304","Merci pour votre achat récent.","legitimate","normal","low","fr","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"305","تم تعليق حسابك على Microsoft. قم بالتأكيد فوراً: http://strickland-bennett.com/","phishing","social_media","critical","ar","url","1","bitcoin, confirm, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"306","Votre rendez-vous est prévu demain à 10h.","legitimate","normal","low","fr","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"307","Thank you for your recent purchase.","legitimate","normal","low","en","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"308","شكراً على عملية الشراء الأخيرة.","legitimate","normal","low","ar","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"309","تم إيقاف توصيل الطرد الخاص بك. اضغط هنا: http://fuller.org/","phishing","crypto_scam","medium","ar","email","1","click, security, urgent","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"310","موعدك غداً على الساعة العاشرة صباحاً.","legitimate","normal","low","ar","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"311","Your package delivery failed. Update your address now: https://baker.com/","phishing","social_media","medium","en","sms","1","urgent, password, click","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"312","Merci pour votre achat récent.","legitimate","normal","low","fr","social_media","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"313","Votre compte Microsoft a été suspendu. Vérifiez immédiatement : http://jackson-clarke.net/","phishing","social_media","medium","fr","sms","1","security, urgent, verify","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"314","Your package delivery failed. Update your address now: http://bass.com/","phishing","job_scam","high","en","sms","1","suspended, urgent, delivery","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"315","تم إيقاف توصيل الطرد الخاص بك. اضغط هنا: https://arnold.com/","phishing","social_media","high","ar","url","1","password, delivery, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"316","Your package delivery failed. Update your address now: https://daniel.com/","phishing","delivery","critical","en","social_media","1","password, urgent, confirm","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"317","Urgent ! Confirmez votre mot de passe maintenant : https://faulkner.info/","phishing","fake_support","medium","fr","url","1","bitcoin, confirm, urgent","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"318","Your package delivery failed. Update your address now: http://galloway.com/","phishing","delivery","high","en","sms","1","urgent, suspended, click","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"319","Votre compte Microsoft a été suspendu. Vérifiez immédiatement : https://arnold.org/","phishing","social_media","high","fr","social_media","1","click, urgent, confirm","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"320","Votre colis est bloqué. Cliquez ici : http://shaw-berger.com/","phishing","credential_theft","critical","fr","email","1","suspended, confirm, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"321","Your package delivery failed. Update your address now: http://beard-berger.org/","phishing","delivery","critical","en","social_media","1","bitcoin, delivery, security","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"322","تحذير عاجل: قم بتأكيد كلمة المرور الخاصة بك الآن: http://carter.info/","phishing","delivery","critical","ar","email","1","security, delivery, suspended","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"323","Your order has been shipped successfully.","legitimate","normal","low","en","email","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
"324","تحذير عاجل: قم بتأكيد كلمة المرور الخاصة بك الآن: http://mata-lambert.net/","phishing","delivery","medium","ar","social_media","1","security, delivery, urgent","Contains urgency language, suspicious links, credential request, or impersonation indicators.","1"
"325","تم إرسال طلبك بنجاح.","legitimate","normal","low","ar","sms","0","none","No suspicious indicators detected. Message appears legitimate and informational.","1"
